iter	Passed	Remaining
0	45	45043
1	77	38878
2	171	56969
3	259	64644
4	312	62088
5	355	58927
6	409	58034
7	436	54079
8	468	51641
9	511	50613
10	546	49109
11	579	47717
12	620	47100
13	686	48321
14	752	49419
15	818	50339
16	851	49251
17	917	50032
18	959	49517
19	993	48691
20	1080	50371
21	1121	49854
22	1172	49785
23	1198	48736
24	1211	47256
25	1303	48824
26	1350	48655
27	1423	49420
28	1464	49050
29	1529	49452
30	1594	49852
31	1659	50204
32	1714	50250
33	1748	49665
34	1812	49971
35	1863	49903
36	1907	49636
37	1948	49335
38	2000	49297
39	2042	49010
40	2093	48965
41	2143	48899
42	2196	48875
43	2243	48753
44	2278	48357
45	2329	48310
46	2401	48697
47	2443	48464
48	2493	48402
49	2562	48690
50	2630	48946
51	2718	49568
52	2771	49519
53	2823	49458
54	2874	49382
55	2944	49628
56	3033	50184
57	3099	50332
58	3140	50081
59	3227	50567
60	3269	50335
61	3321	50250
62	3376	50219
63	3404	49793
64	3445	49564
65	3486	49342
66	3575	49791
67	3626	49705
68	3689	49778
69	3740	49688
70	3804	49777
71	3898	50242
72	3965	50350
73	4007	50150
74	4034	49753
75	4098	49831
76	4164	49916
77	4216	49843
78	4236	49393
79	4316	49644
80	4426	50219
81	4479	50143
82	4532	50073
83	4577	49915
84	4628	49819
85	4679	49736
86	4732	49662
87	4778	49518
88	4804	49176
89	4855	49093
90	4922	49174
91	4976	49120
92	5042	49180
93	5093	49090
94	5128	48855
95	5148	48479
96	5238	48770
97	5283	48625
98	5340	48604
99	5421	48795
100	5525	49180
101	5593	49245
102	5655	49249
103	5688	49007
104	5730	48842
105	5763	48613
106	5798	48395
107	5890	48651
108	5928	48459
109	5954	48181
110	6023	48238
111	6109	48436
112	6162	48373
113	6228	48405
114	6255	48139
115	6270	47787
116	6357	47983
117	6425	48028
118	6467	47878
119	6520	47816
120	6611	48032
121	6717	48340
122	6798	48474
123	6889	48671
124	6978	48850
125	7067	49022
126	7134	49039
127	7160	48783
128	7186	48521
129	7212	48268
130	7279	48290
131	7337	48246
132	7386	48150
133	7478	48328
134	7527	48233
135	7618	48397
136	7669	48311
137	7720	48224
138	7748	47997
139	7813	47996
140	7865	47920
141	7907	47776
142	7995	47917
143	8043	47812
144	8094	47728
145	8181	47858
146	8274	48016
147	8348	48063
148	8423	48108
149	8472	48009
150	8527	47945
151	8560	47761
152	8594	47577
153	8629	47406
154	8696	47410
155	8737	47270
156	8757	47023
157	8800	46897
158	8841	46764
159	8882	46630
160	8923	46502
161	8975	46429
162	9026	46352
163	9067	46223
164	9154	46326
165	9175	46096
166	9221	45996
167	9274	45929
168	9317	45813
169	9343	45617
170	9385	45499
171	9438	45436
172	9508	45454
173	9546	45316
174	9565	45095
175	9607	44979
176	9698	45095
177	9755	45052
178	9845	45159
179	9895	45081
180	9988	45196
181	10055	45195
182	10090	45049
183	10131	44931
184	10164	44778
185	10205	44663
186	10248	44556
187	10311	44538
188	10369	44494
189	10415	44404
190	10446	44248
191	10488	44140
192	10532	44039
193	10583	43970
194	10625	43862
195	10676	43794
196	10722	43706
197	10774	43642
198	10806	43495
199	10848	43393
200	10890	43289
201	10920	43142
202	10973	43082
203	11029	43036
204	11090	43009
205	11141	42943
206	11176	42816
207	11219	42720
208	11285	42712
209	11335	42643
210	11396	42617
211	11434	42501
212	11486	42440
213	11541	42391
214	11577	42272
215	11644	42264
216	11684	42159
217	11726	42065
218	11791	42051
219	11834	41957
220	11873	41852
221	11934	41825
222	12005	41831
223	12047	41737
224	12090	41643
225	12120	41509
226	12170	41445
227	12212	41350
228	12260	41279
229	12302	41188
230	12350	41115
231	12401	41053
232	12467	41042
233	12511	40954
234	12542	40828
235	12609	40820
236	12674	40805
237	12726	40745
238	12777	40683
239	12814	40579
240	12857	40492
241	12893	40386
242	12960	40376
243	13017	40334
244	13059	40243
245	13100	40154
246	13141	40063
247	13208	40050
248	13245	39949
249	13292	39878
250	13356	39856
251	13397	39768
252	13440	39683
253	13491	39625
254	13560	39617
255	13602	39532
256	13644	39445
257	13674	39327
258	13741	39314
259	13783	39229
260	13813	39112
261	13871	39073
262	13905	38966
263	13946	38882
264	13982	38781
265	14024	38698
266	14075	38640
267	14128	38589
268	14158	38476
269	14200	38394
270	14256	38349
271	14298	38268
272	14359	38240
273	14391	38131
274	14433	38051
275	14484	37994
276	14527	37918
277	14569	37837
278	14635	37822
279	14672	37729
280	14739	37714
281	14806	37699
282	14848	37619
283	14904	37575
284	14946	37498
285	14998	37443
286	15033	37348
287	15076	37271
288	15142	37254
289	15210	37238
290	15250	37157
291	15303	37106
292	15367	37082
293	15429	37052
294	15471	36974
295	15543	36968
296	15580	36879
297	15622	36801
298	15674	36749
299	15741	36729
300	15782	36650
301	15849	36631
302	15916	36613
303	15984	36596
304	16041	36554
305	16104	36524
306	16161	36480
307	16203	36404
308	16256	36352
309	16298	36276
310	16339	36198
311	16380	36121
312	16422	36046
313	16464	35969
314	16507	35897
315	16564	35855
316	16607	35781
317	16614	35633
318	16662	35571
319	16705	35499
320	16746	35424
321	16789	35351
322	16835	35287
323	16861	35180
324	16892	35084
325	16934	35011
326	17001	34991
327	17043	34918
328	17085	34846
329	17127	34773
330	17187	34739
331	17230	34667
332	17271	34595
333	17322	34541
334	17362	34465
335	17403	34393
336	17470	34371
337	17497	34270
338	17528	34177
339	17579	34125
340	17663	34136
341	17696	34046
342	17784	34065
343	17850	34040
344	17901	33987
345	17969	33965
346	18023	33918
347	18069	33854
348	18094	33751
349	18159	33724
350	18224	33696
351	18293	33677
352	18336	33608
353	18380	33541
354	18423	33473
355	18448	33372
356	18492	33306
357	18536	33241
358	18602	33214
359	18649	33154
360	18698	33098
361	18734	33018
362	18791	32975
363	18833	32907
364	18875	32838
365	18883	32711
366	18951	32688
367	19017	32660
368	19064	32600
369	19116	32548
370	19161	32487
371	19227	32459
372	19296	32435
373	19319	32336
374	19361	32268
375	19412	32215
376	19452	32146
377	19490	32071
378	19556	32043
379	19598	31976
380	19639	31908
381	19691	31856
382	19743	31805
383	19798	31760
384	19841	31694
385	19883	31627
386	19949	31599
387	19986	31524
388	20027	31456
389	20091	31425
390	20123	31343
391	20192	31318
392	20259	31291
393	20338	31282
394	20404	31252
395	20470	31221
396	20513	31157
397	20564	31105
398	20591	31016
399	20644	30966
400	20709	30934
401	20752	30870
402	20793	30802
403	20843	30749
404	20878	30673
405	20946	30645
406	21009	30611
407	21076	30582
408	21144	30553
409	21212	30525
410	21237	30435
411	21306	30408
412	21370	30373
413	21413	30309
414	21480	30280
415	21515	30204
416	21582	30174
417	21639	30129
418	21682	30065
419	21733	30012
420	21797	29978
421	21839	29913
422	21907	29883
423	21976	29855
424	22042	29822
425	22108	29789
426	22175	29757
427	22227	29705
428	22263	29632
429	22338	29611
430	22391	29560
431	22437	29501
432	22508	29474
433	22574	29440
434	22642	29408
435	22684	29344
436	22735	29290
437	22768	29214
438	22831	29175
439	22902	29149
